PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_468	chr1	26539300	26542420	+	358	NA	intron (RPS6KA1, intron 2 of 21)	NA	-2252	RPS6KA1								
P31FUJ_4_776_R1_peak_1129	chr1	62435490	62436305	+	358	NA	promoter-TSS (USP1)	NA	-815	USP1								
P31FUJ_4_776_R1_peak_2247	chr1	179880927	179882586	+	358	NA	promoter-TSS (TOR1AIP1)	NA	-286	TOR1AIP1								
P31FUJ_4_776_R1_peak_1935	chr1	156498891	156500742	+	358	NA	promoter-TSS (MEF2D)	NA	1004	MEF2D								
P31FUJ_4_776_R1_peak_26838	chr7	66114244	66115732	+	358	NA	intron (CRCP, intron 1 of 2)	NA	170	CRCP								
P31FUJ_4_776_R1_peak_27144	chr7	99374149	99375885	+	358	NA	intron (ARPC1B, intron 1 of 9)	NA	342	ARPC1B								
P31FUJ_4_776_R1_peak_5252	chr11	61826637	61830360	+	358	NA	exon (FADS2, exon 1 of 12)	NA	465	FADS2								
P31FUJ_4_776_R1_peak_19387	chr21	34906210	34908506	+	358	NA	intron (RUNX1, intron 2 of 7)	NA	-18668	RUNX1								
P31FUJ_4_776_R1_peak_18047	chr2	218217193	218219046	+	358	NA	intron (ARPC2, intron 2 of 10)	NA	1025	ARPC2								
P31FUJ_4_776_R1_peak_26881	chr7	73577683	73578602	+	358	NA	exon (TBL2, exon 1 of 8)	NA	541	TBL2								
P31FUJ_4_776_R1_peak_16199	chr2	27829507	27832628	+	358	NA	intron (RBKS, intron 7 of 8)	NA	59329	RBKS								
P31FUJ_4_776_R1_peak_29161	chr9	33289083	33291258	+	358	NA	promoter-TSS (NFX1)	NA	-284	NFX1								
P31FUJ_4_776_R1_peak_26955	chr7	76549334	76550537	+	358	NA	intron (LOC100133091, intron 1 of 2)	NA	594	LOC100133091								
P31FUJ_4_776_R1_peak_24085	chr5	137753046	137755070	+	358	NA	exon (HNRNPA0, exon 1 of 1)	NA	292	HNRNPA0								
P31FUJ_4_776_R1_peak_15951	chr2	6933264	6935116	+	358	NA	intron (RNF144A, intron 1 of 8)	NA	-15508	RNF144A-AS1								
P31FUJ_4_776_R1_peak_17824	chr2	191678090	191678952	+	358	NA	exon (NABP1, exon 1 of 7)	NA	449	NABP1								
P31FUJ_4_776_R1_peak_1137	chr1	63593012	63594522	+	358	NA	promoter-TSS (PGM1)	NA	-29449	PGM1								
P31FUJ_4_776_R1_peak_14574	chr19	6098621	6101998	+	358	NA	intron (RFX2, intron 1 of 17)	NA	10344	RFX2								
P31FUJ_4_776_R1_peak_13624	chr17	76556810	76558785	+	358	NA	promoter-TSS (SNHG16)	NA	33	SNHG16								
P31FUJ_4_776_R1_peak_22110	chr3	196638500	196641507	+	358	NA	intron (NRROS, intron 1 of 2)	NA	218	NRROS								
P31FUJ_4_776_R1_peak_16685	chr2	64943916	64947826	+	358	NA	Intergenic	NA	-13424	AC007386.2								
P31FUJ_4_776_R1_peak_25200	chr6	31585547	31588668	+	357	NA	promoter-TSS (LST1)	NA	898	LST1								
P31FUJ_4_776_R1_peak_16545	chr2	55616285	55617718	+	357	NA	intron (SMEK2, intron 1 of 16)	NA	724	SMEK2								
P31FUJ_4_776_R1_peak_22	chr1	1375535	1376274	+	357	NA	promoter-TSS (AURKAIP1)	NA	-722	AURKAIP1								
P31FUJ_4_776_R1_peak_3337	chr10	22325799	22333378	+	357	NA	exon (COMMD3-BMI1, exon 14 of 14)	NA	8378	BMI1								
P31FUJ_4_776_R1_peak_3824	chr10	72319851	72322471	+	357	NA	Intergenic	NA	33988	DNAJB12								
P31FUJ_4_776_R1_peak_26435	chr6	166341536	166343341	+	357	NA	promoter-TSS (LOC100289495)	NA	65	SFT2D1								
P31FUJ_4_776_R1_peak_26964	chr7	77191936	77195936	+	357	NA	exon (FGL2, exon 2 of 2)	NA	5897	FGL2								
P31FUJ_4_776_R1_peak_2758	chr1	219089083	219091062	+	357	NA	intron (RP11-135J2.4, intron 3 of 4)	NA	83716	RP11-135J2.4								
P31FUJ_4_776_R1_peak_27703	chr7	143288398	143289246	+	357	NA	promoter-TSS (CASP2)	NA	-766	CASP2								
P31FUJ_4_776_R1_peak_22687	chr4	78655665	78659224	+	357	NA	intron (LINC01094, intron 2 of 2)	NA	11450	LINC01094								
P31FUJ_4_776_R1_peak_27007	chr7	80107631	80108689	+	356	NA	Intergenic	NA	-26664	GNAI1								
P31FUJ_4_776_R1_peak_30293	chrUn_KI270744v1	142442	143348	+	356	NA	Intergenic	NA	-33485	LOC102723433								
P31FUJ_4_776_R1_peak_28957	chr8	144827484	144828420	+	356	NA	promoter-TSS (ZNF7)	NA	-361	ZNF7								
P31FUJ_4_776_R1_peak_14639	chr19	7676518	7678146	+	356	NA	intron (C19orf59, intron 1 of 6)	NA	275	C19orf59								
P31FUJ_4_776_R1_peak_28267	chr8	66113475	66114032	+	356	NA	promoter-TSS (TRNAY6)	NA	-235	TRNAY6								
P31FUJ_4_776_R1_peak_14831	chr19	13151904	13155371	+	356	NA	exon (IER2, exon 2 of 2)	NA	3169	IER2								
P31FUJ_4_776_R1_peak_14662	chr19	8492678	8495505	+	356	NA	intron (PRAM1, intron 4 of 9)	NA	8549	PRAM1								
P31FUJ_4_776_R1_peak_25460	chr6	41936679	41939556	+	356	NA	intron (CCND3, intron 1 of 3)	NA	3731	CCND3								
P31FUJ_4_776_R1_peak_18874	chr20	45934111	45935102	+	355	NA	promoter-TSS (PCIF1)	NA	-72	PCIF1								
P31FUJ_4_776_R1_peak_19428	chr21	37364875	37366210	+	355	NA	promoter-TSS (DYRK1A)	NA	-54757	DYRK1A								
P31FUJ_4_776_R1_peak_14552	chr19	5623038	5624564	+	355	NA	promoter-TSS (SAFB2)	NA	766	SAFB								
P31FUJ_4_776_R1_peak_3524	chr10	43407272	43407917	+	355	NA	intron (HNRNPF, intron 1 of 3)	NA	257	HNRNPF								
P31FUJ_4_776_R1_peak_14557	chr19	5790721	5791288	+	355	NA	intron (DUS3L, intron 1 of 12)	NA	234	DUS3L								
P31FUJ_4_776_R1_peak_16625	chr2	62196176	62198340	+	355	NA	intron (B3GNT2, intron 1 of 1)	NA	1131	B3GNT2								
P31FUJ_4_776_R1_peak_27067	chr7	87873476	87876316	+	355	NA	intron (SLC25A40, intron 1 of 12)	NA	-1333	DBF4								
P31FUJ_4_776_R1_peak_26681	chr7	41778387	41781327	+	354	NA	TTS (INHBA-AS1)	NA	-76749	INHBA								
P31FUJ_4_776_R1_peak_6278	chr12	2690715	2693061	+	354	NA	promoter-TSS (CACNA1C-AS1)	NA	-731	CACNA1C-AS1								
P31FUJ_4_776_R1_peak_19652	chr22	19855040	19856189	+	354	NA	promoter-TSS (GNB1L)	NA	-675	GNB1L								
P31FUJ_4_776_R1_peak_17027	chr2	97646032	97646853	+	354	NA	intron (COX5B, intron 1 of 3)	NA	384	COX5B								
P31FUJ_4_776_R1_peak_8895	chr13	109130471	109133085	+	354	NA	intron (MYO16, intron 31 of 34)	NA	35525	MYO16-AS1								
P31FUJ_4_776_R1_peak_7563	chr12	108730490	108731491	+	354	NA	promoter-TSS (CORO1C)	NA	-27992	CORO1C								
P31FUJ_4_776_R1_peak_4943	chr11	32583743	32584903	+	353	NA	intron (EIF3M, intron 1 of 10)	NA	556	EIF3M								
P31FUJ_4_776_R1_peak_24093	chr5	138352872	138354263	+	353	NA	intron (KDM3B, intron 1 of 23)	NA	971	KDM3B								
P31FUJ_4_776_R1_peak_4703	chr11	6481455	6482574	+	353	NA	promoter-TSS (ARFIP2)	NA	-535	ARFIP2								
P31FUJ_4_776_R1_peak_15671	chr19	49875693	49877433	+	353	NA	promoter-TSS (TBC1D17)	NA	824	AKT1S1								
P31FUJ_4_776_R1_peak_14083	chr18	46601677	46603379	+	352	NA	promoter-TSS (LOXHD1)	NA	-43233	LOXHD1								
P31FUJ_4_776_R1_peak_13810	chr17	82456647	82458625	+	352	NA	promoter-TSS (NARF)	NA	-1028	NARF								
P31FUJ_4_776_R1_peak_20041	chr22	40462319	40463982	+	352	NA	intron (MKL1, intron 4 of 14)	NA	-58650	RP4-591N18.2								
P31FUJ_4_776_R1_peak_5605	chr11	73203645	73206903	+	352	NA	TTS (LOC102724472)	NA	4794	LOC102724472								
P31FUJ_4_776_R1_peak_28479	chr8	100722408	100723447	+	352	NA	promoter-TSS (PABPC1)	NA	-840	PABPC1								
P31FUJ_4_776_R1_peak_29886	chr9	124214453	124217815	+	352	NA	Intergenic	NA	-70154	NEK6								
P31FUJ_4_776_R1_peak_4923	chr11	27506063	27507604	+	352	NA	promoter-TSS (BDNF-AS)	NA	-19	BDNF-AS								
P31FUJ_4_776_R1_peak_9807	chr14	92121139	92123213	+	352	NA	promoter-TSS (NDUFB1)	NA	204	CPSF2								
P31FUJ_4_776_R1_peak_112	chr1	8877104	8881047	+	352	NA	promoter-TSS (ENO1)	NA	240	ENO1-AS1								
P31FUJ_4_776_R1_peak_18927	chr20	48771805	48772495	+	352	NA	intron (PREX1, intron 1 of 39)	NA	-115555	PREX1								
P31FUJ_4_776_R1_peak_10760	chr15	78438196	78439362	+	352	NA	intron (IREB2, intron 1 of 21)	NA	603	IREB2								
P31FUJ_4_776_R1_peak_12173	chr16	88839264	88841798	+	352	NA	intron (GALNS, intron 4 of 13)	NA	16417	GALNS								
P31FUJ_4_776_R1_peak_3002	chr1	234773695	234776533	+	351	NA	Intergenic	NA	-15064	PP2672								
P31FUJ_4_776_R1_peak_672	chr1	35576984	35578542	+	351	NA	intron (TFAP2E, intron 3 of 6)	NA	4393	TFAP2E								
P31FUJ_4_776_R1_peak_26644	chr7	40133438	40134919	+	351	NA	promoter-TSS (SUGCT)	NA	474	MPLKIP								
P31FUJ_4_776_R1_peak_9174	chr14	24271058	24272147	+	351	NA	promoter-TSS (RABGGTA)	NA	25	RABGGTA								
P31FUJ_4_776_R1_peak_26805	chr7	55365345	55367166	+	351	NA	intron (LANCL2, intron 1 of 8)	NA	807	LANCL2								
P31FUJ_4_776_R1_peak_14782	chr19	12163006	12163928	+	349	NA	intron (ZNF136, intron 1 of 4)	NA	410	ZNF136								
P31FUJ_4_776_R1_peak_1356	chr1	92460157	92462047	+	349	NA	Intergenic	NA	22697	GFI1								
P31FUJ_4_776_R1_peak_25095	chr6	27836501	27838456	+	349	NA	TTS (HIST1H2AK)	NA	861	HIST1H2AK								
P31FUJ_4_776_R1_peak_23516	chr5	66143506	66145894	+	349	NA	promoter-TSS (SREK1)	NA	379	SREK1								
P31FUJ_4_776_R1_peak_20540	chr3	23917178	23918425	+	349	NA	promoter-TSS (NKIRAS1)	NA	-767	NKIRAS1								
P31FUJ_4_776_R1_peak_18847	chr20	44885609	44886938	+	349	NA	intron (YWHAB, intron 1 of 5)	NA	674	YWHAB								
P31FUJ_4_776_R1_peak_22877	chr4	102825244	102827994	+	349	NA	promoter-TSS (UBE2D3)	NA	653	UBE2D3								
P31FUJ_4_776_R1_peak_5159	chr11	57483282	57486542	+	349	NA	exon (SLC43A1, exon 15 of 15)	NA	24375	RTN4RL2								
P31FUJ_4_776_R1_peak_11212	chr16	4415231	4416615	+	349	NA	intron (CORO7, intron 1 of 27)	NA	1038	CORO7								
P31FUJ_4_776_R1_peak_5240	chr11	61429385	61430816	+	349	NA	promoter-TSS (CPSF7)	NA	-25	SDHAF2								
P31FUJ_4_776_R1_peak_13791	chr17	82098902	82100050	+	349	NA	Intergenic	NA	-1246	FASN								
P31FUJ_4_776_R1_peak_18876	chr20	45971851	45972932	+	349	NA	promoter-TSS (ZNF335)	NA	-1122	ZNF335								
P31FUJ_4_776_R1_peak_12444	chr17	8105208	8107104	+	349	NA	intron (ALOXE3, intron 12 of 14)	NA	12386	ALOXE3								
P31FUJ_4_776_R1_peak_8854	chr13	104835801	104839707	+	349	NA	Intergenic	NA	-628113	DAOA								
P31FUJ_4_776_R1_peak_8329	chr13	45464839	45466229	+	348	NA	intron (COG3, intron 1 of 23)	NA	619	COG3								
P31FUJ_4_776_R1_peak_27149	chr7	99465188	99466643	+	348	NA	intron (ATP5J2, intron 1 of 3)	NA	286	ATP5J2-PTCD1								
P31FUJ_4_776_R1_peak_27201	chr7	100673028	100675086	+	348	NA	intron (GNB2, intron 1 of 9)	NA	317	GNB2								
P31FUJ_4_776_R1_peak_15588	chr19	48321363	48321923	+	348	NA	intron (CCDC114, intron 1 of 15)	NA	-1568	CCDC114								
P31FUJ_4_776_R1_peak_1431	chr1	100036946	100039273	+	348	NA	promoter-TSS (HIAT1)	NA	-124	HIAT1								
P31FUJ_4_776_R1_peak_15556	chr19	47226334	47227876	+	348	NA	promoter-TSS (MIR3191)	NA	115	MIR3190								
P31FUJ_4_776_R1_peak_7656	chr12	113184250	113186047	+	348	NA	promoter-TSS (RITA1)	NA	331	DDX54								
P31FUJ_4_776_R1_peak_5394	chr11	65476325	65478628	+	348	NA	Intergenic	NA	-20286	MALAT1								
P31FUJ_4_776_R1_peak_14692	chr19	10106290	10107299	+	348	NA	promoter-TSS (SNORD105)	NA	571	PPAN								
P31FUJ_4_776_R1_peak_26926	chr7	75616755	75617803	+	348	NA	intron (HIP1, intron 1 of 28)	NA	-75844	LOC102723650								
P31FUJ_4_776_R1_peak_17560	chr2	161160311	161161055	+	348	NA	exon (TANK, exon 1 of 8)	NA	255	TANK								
P31FUJ_4_776_R1_peak_15617	chr19	48872436	48874023	+	348	NA	exon (PPP1R15A, exon 2 of 3)	NA	837	PPP1R15A								
P31FUJ_4_776_R1_peak_8612	chr13	77324699	77327219	+	348	NA	intron (MYCBP2, intron 1 of 85)	NA	1080	MYCBP2								
P31FUJ_4_776_R1_peak_26751	chr7	44848421	44849298	+	348	NA	promoter-TSS (H2AFV)	NA	-733	H2AFV								
P31FUJ_4_776_R1_peak_8318	chr13	45119277	45121642	+	348	NA	promoter-TSS (GTF2F2)	NA	-37	GTF2F2								
P31FUJ_4_776_R1_peak_15054	chr19	19191492	19192665	+	348	NA	promoter-TSS (RFXANK)	NA	-121	RFXANK								
P31FUJ_4_776_R1_peak_4391	chr10	117371301	117375388	+	347	NA	intron (PDZD8, intron 1 of 4)	NA	2082	PDZD8								
P31FUJ_4_776_R1_peak_11543	chr16	30456872	30460230	+	347	NA	Intergenic	NA	-12576	SEPHS2								
P31FUJ_4_776_R1_peak_15657	chr19	49640614	49641811	+	347	NA	promoter-TSS (SCAF1)	NA	-913	SCAF1								
P31FUJ_4_776_R1_peak_23251	chr5	32173315	32175244	+	347	NA	promoter-TSS (GOLPH3)	NA	40	GOLPH3								
P31FUJ_4_776_R1_peak_12767	chr17	34960760	34962299	+	347	NA	promoter-TSS (ZNF830)	NA	-1	ZNF830								
P31FUJ_4_776_R1_peak_29503	chr9	91192341	91194717	+	347	NA	Intergenic	NA	-74501	LOC100507103								
P31FUJ_4_776_R1_peak_5301	chr11	63501571	63508100	+	347	NA	Intergenic	NA	-3152	LGALS12								
P31FUJ_4_776_R1_peak_17974	chr2	207623919	207626512	+	346	NA	promoter-TSS (METTL21A)	NA	170	METTL21A								
P31FUJ_4_776_R1_peak_16533	chr2	55099288	55101256	+	346	NA	intron (RTN4, intron 1 of 9)	NA	12344	RTN4								
P31FUJ_4_776_R1_peak_9510	chr14	68976925	68979293	+	346	NA	intron (ACTN1, intron 1 of 21)	NA	1257	ACTN1								
P31FUJ_4_776_R1_peak_16030	chr2	10330407	10333113	+	346	NA	intron (HPCAL1, intron 1 of 4)	NA	28060	HPCAL1								
P31FUJ_4_776_R1_peak_20508	chr3	18207438	18210526	+	346	NA	intron (LOC339862, intron 4 of 4)	NA	216355	SATB1								
P31FUJ_4_776_R1_peak_8964	chr13	113490866	113491850	+	346	NA	promoter-TSS (DCUN1D2)	NA	365	TMCO3								
P31FUJ_4_776_R1_peak_861	chr1	42455952	42457266	+	346	NA	promoter-TSS (ZMYND12)	NA	268	PPCS								
P31FUJ_4_776_R1_peak_8918	chr13	109667123	109670192	+	346	NA	Intergenic	NA	-59617	LINC00676								
P31FUJ_4_776_R1_peak_30145	chr9	132354102	132355014	+	346	NA	intron (SETX, intron 2 of 27)	NA	428	SETX								
P31FUJ_4_776_R1_peak_27189	chr7	100478427	100479218	+	345	NA	exon (TSC22D4, exon 1 of 5)	NA	457	TSC22D4								
P31FUJ_4_776_R1_peak_1341	chr1	91021115	91022389	+	345	NA	promoter-TSS (ZNF644)	NA	56	LOC102723410								
P31FUJ_4_776_R1_peak_14705	chr19	10338926	10340254	+	345	NA	promoter-TSS (ICAM3)	NA	79	ICAM3								
P31FUJ_4_776_R1_peak_3795	chr10	71746721	71748738	+	345	NA	exon (C10orf54, exon 7 of 7)	NA	25851	C10orf54								
P31FUJ_4_776_R1_peak_29627	chr9	100351760	100353664	+	344	NA	promoter-TSS (TEX10)	NA	265	TEX10								
P31FUJ_4_776_R1_peak_7289	chr12	69359603	69360702	+	344	NA	intron (YEATS4, intron 1 of 4)	NA	442	YEATS4								
P31FUJ_4_776_R1_peak_11592	chr16	31127089	31130702	+	344	NA	intron (KAT8, intron 6 of 9)	NA	6935	PRSS8								
P31FUJ_4_776_R1_peak_22729	chr4	82429516	82430455	+	344	NA	promoter-TSS (ENOPH1)	NA	240	HNRNPDL								
P31FUJ_4_776_R1_peak_3228	chr10	7470445	7473149	+	344	NA	Intergenic	NA	-60311	SFMBT2								
P31FUJ_4_776_R1_peak_11955	chr16	70454177	70455117	+	344	NA	promoter-TSS (FUK)	NA	-9248	RNU6-23P								
P31FUJ_4_776_R1_peak_24094	chr5	138463563	138465481	+	344	NA	promoter-TSS (EGR1)	NA	-970	EGR1								
P31FUJ_4_776_R1_peak_25207	chr6	31664157	31665959	+	344	NA	promoter-TSS (CSNK2B)	NA	344	GPANK1								
P31FUJ_4_776_R1_peak_12215	chr16	90077589	90079336	+	343	NA	Intergenic	NA	-15815	PRDM7								
P31FUJ_4_776_R1_peak_27222	chr7	101203492	101205260	+	343	NA	Intergenic	NA	-3355	MOGAT3								
P31FUJ_4_776_R1_peak_1568	chr1	112617901	112620924	+	343	NA	promoter-TSS (ST7L)	NA	-41	CAPZA1								
P31FUJ_4_776_R1_peak_14502	chr19	3625785	3627082	+	343	NA	intron (CACTIN, intron 1 of 9)	NA	382	CACTIN								
P31FUJ_4_776_R1_peak_26737	chr7	44489920	44491217	+	343	NA	exon (NUDCD3, exon 1 of 6)	NA	218	NUDCD3								
P31FUJ_4_776_R1_peak_18301	chr20	2469610	2470825	+	343	NA	intron (SNRPB, intron 1 of 6)	NA	636	SNRPB								
P31FUJ_4_776_R1_peak_16502	chr2	48314842	48316084	+	343	NA	intron (FOXN2, intron 1 of 5)	NA	449	FOXN2								
P31FUJ_4_776_R1_peak_28249	chr8	63167772	63169858	+	342	NA	promoter-TSS (YTHDF3)	NA	262	YTHDF3								
P31FUJ_4_776_R1_peak_25265	chr6	33248476	33249256	+	342	NA	promoter-TSS (HCG25)	NA	-670	HCG25								
P31FUJ_4_776_R1_peak_10335	chr15	55195794	55198038	+	342	NA	exon (RSL24D1, exon 1 of 6)	NA	117	RSL24D1								
P31FUJ_4_776_R1_peak_13370	chr17	63446355	63448174	+	342	NA	promoter-TSS (CYB561)	NA	-949	CYB561								
P31FUJ_4_776_R1_peak_10722	chr15	76994529	76996943	+	342	NA	intron (PSTPIP1, intron 1 of 14)	NA	612	PSTPIP1								
P31FUJ_4_776_R1_peak_17145	chr2	105794389	105799181	+	342	NA	intron (NCK2, intron 1 of 4)	NA	51722	NCK2								
P31FUJ_4_776_R1_peak_6789	chr12	45725819	45727590	+	342	NA	exon (LINC00938, exon 1 of 1)	NA	1217	LINC00938								
P31FUJ_4_776_R1_peak_17965	chr2	207237363	207240744	+	342	NA	intron (AC007879.2, intron 2 of 3)	NA	-2988	LOC102724675								
P31FUJ_4_776_R1_peak_3852	chr10	73251861	73253509	+	342	NA	promoter-TSS (MRPS16)	NA	8	MRPS16								
P31FUJ_4_776_R1_peak_6452	chr12	9345778	9347627	+	342	NA	promoter-TSS (LOC102723921)	NA	-329	LOC102723921								
P31FUJ_4_776_R1_peak_17017	chr2	96536620	96537231	+	342	NA	promoter-TSS (LOC100996535)	NA	67	LOC100996535								
P31FUJ_4_776_R1_peak_19177	chr20	63627226	63628105	+	341	NA	promoter-TSS (GMEB2)	NA	525	LOC100505771								
P31FUJ_4_776_R1_peak_17195	chr2	112055293	112056402	+	341	NA	intron (TMEM87B, intron 1 of 18)	NA	581	TMEM87B								
P31FUJ_4_776_R1_peak_13598	chr17	75784197	75785925	+	341	NA	promoter-TSS (MIR4738)	NA	222	UNK								
P31FUJ_4_776_R1_peak_11006	chr15	100519688	100521664	+	341	NA	intron (CERS3, intron 3 of 12)	NA	24044	CERS3								
P31FUJ_4_776_R1_peak_9967	chr14	104677296	104678700	+	341	NA	promoter-TSS (MIR4710)	NA	-249	MIR4710								
P31FUJ_4_776_R1_peak_5684	chr11	77819604	77820681	+	341	NA	promoter-TSS (AAMDC)	NA	727	RSF1								
P31FUJ_4_776_R1_peak_26488	chr7	5418050	5421346	+	341	NA	intron (TNRC18, intron 1 of 28)	NA	4130	TNRC18								
P31FUJ_4_776_R1_peak_14640	chr19	7680815	7681868	+	341	NA	intron (TRAPPC5, intron 1 of 1)	NA	520	TRAPPC5								
P31FUJ_4_776_R1_peak_27896	chr8	11801602	11802477	+	341	NA	promoter-TSS (FDFT1)	NA	-6378	FDFT1								
P31FUJ_4_776_R1_peak_19653	chr22	19886095	19888233	+	341	NA	intron (TXNRD2, intron 11 of 17)	NA	5709	KIAA1652								
P31FUJ_4_776_R1_peak_1596	chr1	114511343	114512247	+	341	NA	promoter-TSS (TRIM33)	NA	-635	TRIM33								
P31FUJ_4_776_R1_peak_15680	chr19	50024864	50025420	+	341	NA	promoter-TSS (ZNF473)	NA	227	VRK3								
P31FUJ_4_776_R1_peak_21550	chr3	136193831	136196397	+	341	NA	promoter-TSS (MSL2)	NA	-42038	MSL2								
P31FUJ_4_776_R1_peak_22570	chr4	57110525	57111509	+	340	NA	promoter-TSS (IGFBP7)	NA	-632	IGFBP7								
P31FUJ_4_776_R1_peak_5995	chr11	118790028	118792039	+	340	NA	promoter-TSS (DDX6)	NA	230	DDX6								
P31FUJ_4_776_R1_peak_16641	chr2	63840950	63842638	+	340	NA	promoter-TSS (UGP2)	NA	-96	UGP2								
P31FUJ_4_776_R1_peak_18287	chr20	2101410	2104060	+	340	NA	intron (STK35, intron 1 of 3)	NA	853	STK35								
P31FUJ_4_776_R1_peak_15173	chr19	35000452	35001410	+	340	NA	intron (GRAMD1A, intron 1 of 18)	NA	927	GRAMD1A								
P31FUJ_4_776_R1_peak_21046	chr3	53161376	53162392	+	340	NA	intron (PRKCD, intron 1 of 18)	NA	677	PRKCD								
P31FUJ_4_776_R1_peak_23498	chr5	64767725	64769467	+	339	NA	promoter-TSS (CWC27)	NA	73	SREK1IP1								
P31FUJ_4_776_R1_peak_27617	chr7	140923717	140924785	+	339	NA	intron (BRAF, intron 1 of 17)	NA	513	BRAF								
P31FUJ_4_776_R1_peak_18628	chr20	32036057	32037673	+	339	NA	Intergenic	NA	-5290	LOC101929636								
P31FUJ_4_776_R1_peak_947	chr1	46132253	46133756	+	339	NA	promoter-TSS (PIK3R3)	NA	32	PIK3R3								
P31FUJ_4_776_R1_peak_11557	chr16	30609673	30610392	+	338	NA	promoter-TSS (ZNF689)	NA	-204	ZNF689								
P31FUJ_4_776_R1_peak_11292	chr16	11850517	11852131	+	338	NA	intron (RSL1D1, intron 1 of 8)	NA	261	RSL1D1								
P31FUJ_4_776_R1_peak_28868	chr8	143280888	143281720	+	338	NA	exon (LOC100507316, exon 1 of 2)	NA	396	LOC100507316								
P31FUJ_4_776_R1_peak_12391	chr17	7011841	7014662	+	338	NA	promoter-TSS (LOC100506713)	NA	834	RNASEK-C17orf49								
P31FUJ_4_776_R1_peak_24120	chr5	139481171	139483417	+	338	NA	exon (TMEM173, exon 2 of 8)	NA	464	TMEM173								
P31FUJ_4_776_R1_peak_9769	chr14	90382422	90383264	+	337	NA	Intergenic	NA	-14140	CALM1								
P31FUJ_4_776_R1_peak_13774	chr17	81890586	81891354	+	337	NA	promoter-TSS (ANAPC11)	NA	616	ALYREF								
P31FUJ_4_776_R1_peak_28504	chr8	102863249	102865304	+	337	NA	promoter-TSS (AZIN1)	NA	93	LOC100506753								
P31FUJ_4_776_R1_peak_18478	chr20	12052339	12055513	+	337	NA	Intergenic	NA	163203	BTBD3								
P31FUJ_4_776_R1_peak_499	chr1	27322274	27323107	+	337	NA	intron (TMEM222, intron 1 of 6)	NA	539	TMEM222								
P31FUJ_4_776_R1_peak_14453	chr19	2426869	2427997	+	337	NA	TTS (LMNB2)	NA	483	TIMM13								
P31FUJ_4_776_R1_peak_25035	chr6	26171636	26173743	+	337	NA	Intergenic	NA	-11107	HIST1H2BE								
P31FUJ_4_776_R1_peak_16376	chr2	42925229	42927697	+	337	NA	Intergenic	NA	113084	LOC102723854								
P31FUJ_4_776_R1_peak_7121	chr12	56723854	56725313	+	337	NA	intron (NACA, intron 1 of 8)	NA	1692	NACA								
P31FUJ_4_776_R1_peak_14454	chr19	2455738	2456781	+	337	NA	intron (LMNB2, intron 1 of 11)	NA	709	LMNB2								
P31FUJ_4_776_R1_peak_12521	chr17	16214587	16216171	+	337	NA	exon (NCOR1, exon 1 of 48)	NA	164	NCOR1								
P31FUJ_4_776_R1_peak_13269	chr17	58325056	58328736	+	337	NA	intron (BZRAP1, intron 1 of 30)	NA	1895	BZRAP1								
P31FUJ_4_776_R1_peak_29592	chr9	97983291	97985638	+	337	NA	intron (ANP32B, intron 1 of 6)	NA	1257	ANP32B								
P31FUJ_4_776_R1_peak_27542	chr7	134316052	134316990	+	337	NA	intron (SLC35B4, intron 1 of 9)	NA	554	SLC35B4								
P31FUJ_4_776_R1_peak_25494	chr6	42978165	42979825	+	337	NA	exon (PEX6, exon 1 of 17)	NA	248	PEX6								
P31FUJ_4_776_R1_peak_13538	chr17	74688833	74690410	+	337	NA	intron (RAB37, intron 1 of 8)	NA	23379	CD300LF								
P31FUJ_4_776_R1_peak_29778	chr9	114317420	114318772	+	337	NA	Intergenic	NA	-4927	ORM1								
P31FUJ_4_776_R1_peak_11180	chr16	3263773	3264576	+	337	NA	exon (LINC00921, exon 1 of 2)	NA	406	LINC00921								
P31FUJ_4_776_R1_peak_10971	chr15	92900219	92902360	+	337	NA	exon (CHD2, exon 2 of 13)	NA	968	CHD2								
P31FUJ_4_776_R1_peak_23320	chr5	39272684	39275399	+	337	NA	intron (FYB, intron 1 of 18)	NA	-54465	FYB								
P31FUJ_4_776_R1_peak_19480	chr21	41879533	41880277	+	337	NA	promoter-TSS (PRDM15)	NA	-423	PRDM15								
P31FUJ_4_776_R1_peak_14906	chr19	15463234	15464800	+	337	NA	promoter-TSS (RASAL3)	NA	34	RASAL3								
P31FUJ_4_776_R1_peak_25488	chr6	42878894	42880846	+	337	NA	promoter-TSS (RPL7L1)	NA	254	RPL7L1								
P31FUJ_4_776_R1_peak_9053	chr14	21382698	21385257	+	337	NA	exon (SUPT16H, exon 1 of 26)	NA	289	SUPT16H								
P31FUJ_4_776_R1_peak_17790	chr2	190649150	190650807	+	337	NA	exon (NAB1, exon 2 of 9)	NA	809	NAB1								
P31FUJ_4_776_R1_peak_1009	chr1	52054473	52057287	+	337	NA	promoter-TSS (BTF3L4)	NA	291	TXNDC12								
