PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_34270	chr7	106111311	106112807	+	362	NA	intron (SYPL1, intron 1 of 4)	NA	555	SYPL1								
UT7_3_187_R1_peak_25834	chr3	17741834	17742563	+	362	NA	intron (TBC1D5, intron 1 of 21)	NA	439	TBC1D5								
UT7_3_187_R1_peak_16339	chr17	73011366	73012339	+	362	NA	intron (SLC39A11, intron 4 of 7)	NA	80862	SLC39A11								
UT7_3_187_R1_peak_602	chr1	23368510	23368874	+	361	NA	promoter-TSS (ZNF436)	NA	-279	C1orf213								
UT7_3_187_R1_peak_18864	chr19	39845454	39846416	+	361	NA	intron (FBL, intron 1 of 8)	NA	455	FBL								
UT7_3_187_R1_peak_7802	chr12	1796372	1797771	+	361	NA	intron (CACNA2D4, intron 35 of 37)	NA	-23196	LRTM2								
UT7_3_187_R1_peak_7049	chr11	73983487	73984426	+	361	NA	Intergenic	NA	-1112	UCP2								
UT7_3_187_R1_peak_34935	chr8	22668620	22669078	+	361	NA	intron (BIN3, intron 1 of 8)	NA	299	BIN3								
UT7_3_187_R1_peak_36215	chr8	144522478	144523277	+	361	NA	TTS (LRRC14)	NA	4155	LRRC24								
UT7_3_187_R1_peak_33179	chr6	161226597	161227723	+	361	NA	intron (AGPAT4, intron 2 of 5)	NA	46915	AGPAT4								
UT7_3_187_R1_peak_23370	chr20	45791938	45792862	+	361	NA	promoter-TSS (WFDC3)	NA	463	DNTTIP1								
UT7_3_187_R1_peak_25416	chr22	46287268	46289667	+	361	NA	exon (TTC38, exon 11 of 15)	NA	8193	GTSE1-AS1								
UT7_3_187_R1_peak_2133	chr1	109794657	109795757	+	361	NA	Intergenic	NA	-33434	EPS8L3								
UT7_3_187_R1_peak_37473	chr9	127555061	127556203	+	361	NA	intron (FAM129B, intron 1 of 13)	NA	13485	FAM129B								
UT7_3_187_R1_peak_23640	chr20	57450674	57451910	+	361	NA	Intergenic	NA	59894	RBM38								
UT7_3_187_R1_peak_36548	chr9	19124051	19124729	+	361	NA	intron (PLIN2, intron 3 of 7)	NA	3216	PLIN2								
UT7_3_187_R1_peak_300	chr1	12230004	12230922	+	361	NA	intron (VPS13D, intron 1 of 69)	NA	407	VPS13D								
UT7_3_187_R1_peak_13910	chr16	30526338	30527335	+	361	NA	promoter-TSS (ZNF768)	NA	-247	ZNF768								
UT7_3_187_R1_peak_34448	chr7	133253096	133253617	+	361	NA	intron (EXOC4, intron 1 of 17)	NA	273	EXOC4								
UT7_3_187_R1_peak_13147	chr15	101294488	101296047	+	361	NA	promoter-TSS (SNRPA1)	NA	9	SNRPA1								
UT7_3_187_R1_peak_1133	chr1	37945487	37947103	+	361	NA	exon (INPP5B, exon 2 of 16)	NA	-14554	INPP5B								
UT7_3_187_R1_peak_22562	chr20	652088	653480	+	360	NA	intron (SRXN1, intron 1 of 1)	NA	586	SRXN1								
UT7_3_187_R1_peak_34182	chr7	100673432	100674926	+	360	NA	intron (GNB2, intron 1 of 9)	NA	439	GNB2								
UT7_3_187_R1_peak_34926	chr8	22244414	22245952	+	360	NA	promoter-TSS (MIR320A)	NA	77	POLR3D								
UT7_3_187_R1_peak_34276	chr7	106568285	106569837	+	360	NA	Intergenic	NA	9180	LOC102724339								
UT7_3_187_R1_peak_25775	chr3	14410944	14411816	+	360	NA	intron (SLC6A6, intron 1 of 13)	NA	-21290	SLC6A6								
UT7_3_187_R1_peak_11133	chr14	74018422	74019253	+	360	NA	promoter-TSS (CCDC176)	NA	458	ENTPD5								
UT7_3_187_R1_peak_8298	chr12	32754807	32755908	+	360	NA	exon (YARS2, exon 1 of 4)	NA	604	YARS2								
UT7_3_187_R1_peak_19233	chr19	46954976	46955676	+	360	NA	intron (ARHGAP35, intron 2 of 5)	NA	36650	ARHGAP35								
UT7_3_187_R1_peak_23374	chr20	45812611	45813514	+	359	NA	promoter-TSS (UBE2C)	NA	29	UBE2C								
UT7_3_187_R1_peak_30794	chr6	7909670	7910809	+	359	NA	promoter-TSS (TXNDC5)	NA	-162	TXNDC5								
UT7_3_187_R1_peak_8689	chr12	51082770	51083603	+	359	NA	intron (CSRNP2, intron 1 of 4)	NA	468	CSRNP2								
UT7_3_187_R1_peak_17957	chr19	11738147	11738938	+	359	NA	intron (ZNF823, intron 1 of 3)	NA	-12832	ZNF823								
UT7_3_187_R1_peak_17934	chr19	11559436	11560463	+	359	NA	promoter-TSS (ELOF1)	NA	554	LOC101928434								
UT7_3_187_R1_peak_19176	chr19	45876558	45877337	+	358	NA	Intergenic	NA	9171	IRF2BP1								
UT7_3_187_R1_peak_18648	chr19	35803900	35804902	+	358	NA	intron (PRODH2, intron 8 of 10)	NA	-6492	AC002398.5								
UT7_3_187_R1_peak_19603	chr19	53431995	53432680	+	358	NA	intron (ZNF761, intron 1 of 5)	NA	363	TPM3P9								
UT7_3_187_R1_peak_32508	chr6	116571379	116572115	+	358	NA	intron (RWDD1, intron 1 of 6)	NA	380	RWDD1								
UT7_3_187_R1_peak_24211	chr21	38959321	38960018	+	358	NA	Intergenic	NA	18105	AF064858.7								
UT7_3_187_R1_peak_1048	chr1	35557092	35557709	+	358	NA	promoter-TSS (NCDN)	NA	0	KIAA0319L								
UT7_3_187_R1_peak_796	chr1	27489600	27490165	+	358	NA	intron (WASF2, intron 1 of 7)	NA	285	WASF2								
UT7_3_187_R1_peak_32066	chr6	46376989	46377676	+	358	NA	intron (RCAN2, intron 2 of 4)	NA	114128	RCAN2								
UT7_3_187_R1_peak_2649	chr1	155135299	155135743	+	358	NA	promoter-TSS (SLC50A1)	NA	172	SLC50A1								
UT7_3_187_R1_peak_1340	chr1	44631446	44632694	+	358	NA	promoter-TSS (RNF220)	NA	13394	LOC102723990								
UT7_3_187_R1_peak_19625	chr19	54158855	54159756	+	358	NA	TTS (TMC4)	NA	403	LENG1								
UT7_3_187_R1_peak_33846	chr7	66114608	66115381	+	358	NA	intron (CRCP, intron 1 of 2)	NA	176	CRCP								
UT7_3_187_R1_peak_19804	chr19	57499902	57500287	+	358	NA	exon (ZNF773, exon 1 of 5)	NA	153	ZNF773								
UT7_3_187_R1_peak_21556	chr2	169583935	169585146	+	358	NA	promoter-TSS (PPIG)	NA	197	PPIG								
UT7_3_187_R1_peak_11550	chr14	104677371	104678744	+	358	NA	promoter-TSS (MIR4710)	NA	-308	MIR4710								
UT7_3_187_R1_peak_16696	chr17	81925926	81927716	+	358	NA	intron (MAFG, intron 1 of 2)	NA	-1008	MAFG-AS1								
UT7_3_187_R1_peak_6355	chr11	47767647	47768366	+	358	NA	promoter-TSS (FNBP4)	NA	-546	FNBP4								
UT7_3_187_R1_peak_16842	chr18	2655012	2656952	+	358	NA	promoter-TSS (CBX3P2)	NA	95	SMCHD1								
UT7_3_187_R1_peak_3851	chr1	228165714	228166096	+	358	NA	promoter-TSS (IBA57-AS1)	NA	177	IBA57								
UT7_3_187_R1_peak_718	chr1	26234199	26235293	+	358	NA	intron (CEP85, intron 1 of 13)	NA	593	CEP85								
UT7_3_187_R1_peak_4897	chr10	69315657	69317300	+	358	NA	intron (HK1, intron 1 of 17)	NA	46478	HK1								
UT7_3_187_R1_peak_1569	chr1	54378080	54379234	+	358	NA	intron (SSBP3, intron 4 of 17)	NA	27726	SSBP3								
UT7_3_187_R1_peak_18023	chr19	12791526	12794190	+	358	NA	exon (JUNB, exon 1 of 1)	NA	1362	JUNB								
UT7_3_187_R1_peak_19598	chr19	53102454	53103408	+	358	NA	intron (ZNF160, intron 1 of 6)	NA	-16572	ZNF160								
UT7_3_187_R1_peak_685	chr1	25819172	25821514	+	358	NA	promoter-TSS (MTFR1L)	NA	437	MTFR1L								
UT7_3_187_R1_peak_22605	chr20	2524578	2525772	+	358	NA	promoter-TSS (ZNF343)	NA	-11432	TMC2								
UT7_3_187_R1_peak_23125	chr20	35490372	35491038	+	358	NA	exon (CEP250, exon 21 of 35)	NA	35303	CEP250								
UT7_3_187_R1_peak_34893	chr8	18084124	18084898	+	358	NA	promoter-TSS (ASAH1)	NA	487	ASAH1								
UT7_3_187_R1_peak_35796	chr8	124196873	124198085	+	358	NA	intron (RP11-37N22.1, intron 2 of 2)	NA	-25957	FER1L6-AS2								
UT7_3_187_R1_peak_4323	chr10	5547665	5548860	+	358	NA	Intergenic	NA	23301	CALML3								
UT7_3_187_R1_peak_4348	chr10	6163850	6164800	+	358	NA	intron (PFKFB3, intron 1 of 14)	NA	12078	MIR3155A								
UT7_3_187_R1_peak_13241	chr16	1678305	1679052	+	358	NA	TTS (CRAMP1L)	NA	401	HN1L								
UT7_3_187_R1_peak_22426	chr2	233853216	233854550	+	357	NA	exon (HJURP, exon 2 of 9)	NA	683	HJURP								
UT7_3_187_R1_peak_14725	chr16	89972583	89973296	+	357	NA	promoter-TSS (CENPBD1)	NA	-107	CENPBD1								
UT7_3_187_R1_peak_11071	chr14	71478693	71479549	+	357	NA	Intergenic	NA	-8740	LOC145474								
UT7_3_187_R1_peak_12186	chr15	59975916	59976535	+	357	NA	Intergenic	NA	-27997	FOXB1								
UT7_3_187_R1_peak_20390	chr2	55617961	55618936	+	357	NA	promoter-TSS (SMEK2)	NA	-723	SMEK2								
UT7_3_187_R1_peak_6320	chr11	47248396	47249206	+	357	NA	promoter-TSS (NR1H3)	NA	105	ACP2								
UT7_3_187_R1_peak_27355	chr3	174440918	174441723	+	357	NA	intron (NAALADL2, intron 1 of 15)	NA	-306578	LOC101928640								
UT7_3_187_R1_peak_10655	chr14	49687578	49688720	+	357	NA	exon (POLE2, exon 1 of 17)	NA	231	POLE2								
UT7_3_187_R1_peak_6797	chr11	66615970	66616409	+	357	NA	promoter-TSS (RBM14-RBM4)	NA	-393	RBM14								
UT7_3_187_R1_peak_15247	chr17	27294111	27294966	+	357	NA	promoter-TSS (MIR4522)	NA	458	WSB1								
UT7_3_187_R1_peak_25915	chr3	31532554	31533956	+	357	NA	exon (STT3B, exon 1 of 16)	NA	617	STT3B								
UT7_3_187_R1_peak_7475	chr11	114399889	114401433	+	357	NA	promoter-TSS (C11orf71)	NA	-111	C11orf71								
UT7_3_187_R1_peak_6786	chr11	66268554	66269504	+	357	NA	intron (RAB1B, intron 1 of 5)	NA	444	RAB1B								
UT7_3_187_R1_peak_34922	chr8	22164684	22165731	+	357	NA	promoter-TSS (BMP1)	NA	67	BMP1								
UT7_3_187_R1_peak_27923	chr4	15681143	15682256	+	357	NA	promoter-TSS (FAM200B)	NA	-30	FAM200B								
UT7_3_187_R1_peak_3278	chr1	186193656	186195241	+	357	NA	Intergenic	NA	-101825	PRG4								
UT7_3_187_R1_peak_13602	chr16	18800432	18801505	+	357	NA	intron (ARL6IP1, intron 1 of 5)	NA	567	ARL6IP1								
UT7_3_187_R1_peak_12976	chr15	90717320	90718123	+	357	NA	intron (BLM, intron 1 of 19)	NA	394	BLM								
UT7_3_187_R1_peak_26008	chr3	39146954	39149211	+	357	NA	intron (CSRNP1, intron 1 of 4)	NA	-4266	LOC101928263								
UT7_3_187_R1_peak_1633	chr1	59297071	59297559	+	357	NA	intron (FGGY, intron 1 of 15)	NA	303	FGGY								
UT7_3_187_R1_peak_29195	chr5	36151251	36151903	+	357	NA	promoter-TSS (SKP2)	NA	384	LMBRD2								
UT7_3_187_R1_peak_2653	chr1	155172788	155173335	+	357	NA	promoter-TSS (TRIM46)	NA	267	KRTCAP2								
UT7_3_187_R1_peak_22453	chr2	238060108	238060793	+	357	NA	promoter-TSS (SCLY)	NA	-474	SCLY								
UT7_3_187_R1_peak_215	chr1	9539492	9540504	+	357	NA	intron (SLC25A33, intron 1 of 6)	NA	529	SLC25A33								
UT7_3_187_R1_peak_13497	chr16	11613241	11613827	+	357	NA	Intergenic	NA	-26068	LITAF								
UT7_3_187_R1_peak_98	chr1	2313974	2317114	+	357	NA	Intergenic	NA	37117	LOC100129534								
UT7_3_187_R1_peak_37875	chr9	136807384	136808781	+	357	NA	TTS (CCDC183)	NA	160	RABL6								
UT7_3_187_R1_peak_946	chr1	31296118	31296782	+	357	NA	promoter-TSS (ZCCHC17)	NA	347	SNRNP40								
UT7_3_187_R1_peak_6359	chr11	57335129	57336198	+	357	NA	intron (SSRP1, intron 1 of 16)	NA	212	SSRP1								
UT7_3_187_R1_peak_31848	chr6	37840052	37840789	+	357	NA	intron (ZFAND3, intron 1 of 4)	NA	20563	ZFAND3								
UT7_3_187_R1_peak_23103	chr20	34955161	34955808	+	357	NA	promoter-TSS (GSS)	NA	-533	GSS								
UT7_3_187_R1_peak_13919	chr16	30557156	30558407	+	357	NA	exon (ZNF764, exon 2 of 3)	NA	540	ZNF764								
UT7_3_187_R1_peak_20982	chr2	101697583	101698706	+	357	NA	promoter-TSS (MAP4K4)	NA	137	MAP4K4								
UT7_3_187_R1_peak_5977	chr11	9313606	9314577	+	357	NA	intron (TMEM41B, intron 1 of 6)	NA	677	TMEM41B								
UT7_3_187_R1_peak_1035	chr1	34859209	34859796	+	356	NA	promoter-TSS (SMIM12)	NA	-457	SMIM12								
UT7_3_187_R1_peak_37894	chr9	137087021	137087675	+	356	NA	promoter-TSS (MAN1B1-AS1)	NA	421	MAN1B1								
UT7_3_187_R1_peak_2442	chr1	150363685	150364031	+	356	NA	promoter-TSS (RPRD2)	NA	-290	RPRD2								
UT7_3_187_R1_peak_34325	chr7	112450483	112451633	+	356	NA	promoter-TSS (IFRD1)	NA	27914	IFRD1								
UT7_3_187_R1_peak_30347	chr5	171387052	171387607	+	355	NA	promoter-TSS (NPM1)	NA	-375	NPM1								
UT7_3_187_R1_peak_17202	chr18	57620992	57621848	+	355	NA	intron (NARS, intron 1 of 13)	NA	306	NARS								
UT7_3_187_R1_peak_22712	chr20	6006075	6006884	+	355	NA	promoter-TSS (CRLS1)	NA	-658	LOC101929225								
UT7_3_187_R1_peak_5536	chr10	113853786	113855339	+	355	NA	promoter-TSS (DCLRE1A)	NA	-70	NHLRC2								
UT7_3_187_R1_peak_27391	chr3	179260917	179261512	+	355	NA	intron (KCNMB3, intron 1 of 3)	NA	-5517	LOC101929571								
UT7_3_187_R1_peak_13765	chr16	27367595	27368261	+	355	NA	Intergenic	NA	54069	IL4R								
UT7_3_187_R1_peak_19261	chr19	47272910	47274264	+	355	NA	promoter-TSS (PRR24)	NA	-815	PRR24								
UT7_3_187_R1_peak_4158	chr1	244653076	244653881	+	355	NA	intron (DESI2, intron 1 of 3)	NA	428	DESI2								
UT7_3_187_R1_peak_13589	chr16	16121104	16121845	+	355	NA	intron (ABCC1, intron 23 of 29)	NA	101997	ABCC6								
UT7_3_187_R1_peak_11088	chr14	73058514	73059624	+	355	NA	intron (RBM25, intron 1 of 18)	NA	556	RBM25								
UT7_3_187_R1_peak_24432	chr22	17774025	17774669	+	355	NA	promoter-TSS (BID)	NA	148	BID								
UT7_3_187_R1_peak_19520	chr19	51548049	51549142	+	354	NA	Intergenic	NA	-16739	SIGLEC6								
UT7_3_187_R1_peak_11886	chr15	42273092	42273491	+	354	NA	promoter-TSS (TMEM87A)	NA	-217	TMEM87A								
UT7_3_187_R1_peak_2959	chr1	161749764	161750338	+	354	NA	exon (DUSP12, exon 1 of 6)	NA	283	DUSP12								
UT7_3_187_R1_peak_814	chr1	27662428	27663243	+	354	NA	Intergenic	NA	9378	IFI6								
UT7_3_187_R1_peak_19530	chr19	51594511	51595073	+	354	NA	promoter-TSS (FLJ30403)	NA	-412	FLJ30403								
UT7_3_187_R1_peak_618	chr1	23824903	23825441	+	354	NA	intron (HMGCL, intron 1 of 8)	NA	287	HMGCL								
UT7_3_187_R1_peak_31863	chr6	39222445	39224790	+	354	NA	intron (KCNK5, intron 1 of 4)	NA	5858	KCNK5								
UT7_3_187_R1_peak_23320	chr20	43590470	43590923	+	353	NA	promoter-TSS (IFT52)	NA	-238	IFT52								
UT7_3_187_R1_peak_11920	chr15	43329526	43331120	+	353	NA	promoter-TSS (ADAL)	NA	-33	ADAL								
UT7_3_187_R1_peak_28772	chr4	143184284	143186160	+	353	NA	exon (USP38, exon 1 of 10)	NA	305	USP38								
UT7_3_187_R1_peak_15762	chr17	44218662	44221083	+	353	NA	promoter-TSS (UBTF)	NA	-199	UBTF								
UT7_3_187_R1_peak_20397	chr2	58240834	58241797	+	353	NA	promoter-TSS (FANCL)	NA	65	FANCL								
UT7_3_187_R1_peak_33351	chr7	4745183	4745518	+	353	NA	intron (FOXK1, intron 2 of 8)	NA	-30281	AP5Z1								
UT7_3_187_R1_peak_12937	chr15	90101491	90102541	+	353	NA	intron (IDH2, intron 1 of 10)	NA	460	IDH2								
UT7_3_187_R1_peak_3801	chr1	225927966	225928586	+	353	NA	Intergenic	NA	-3936	PYCR2								
UT7_3_187_R1_peak_34636	chr7	151080074	151080850	+	353	NA	TTS (TMUB1)	NA	421	FASTK								
UT7_3_187_R1_peak_15347	chr17	29389946	29391378	+	353	NA	promoter-TSS (TAOK1)	NA	0	MIR4523								
UT7_3_187_R1_peak_725	chr1	26280036	26280962	+	353	NA	intron (SH3BGRL3, intron 1 of 2)	NA	777	SH3BGRL3								
UT7_3_187_R1_peak_23046	chr20	32672421	32674437	+	353	NA	intron (C20orf203, intron 1 of 5)	NA	512	C20orf203								
UT7_3_187_R1_peak_31170	chr6	26203111	26206061	+	353	NA	promoter-TSS (HIST1H4E)	NA	-59	HIST1H4E								
UT7_3_187_R1_peak_9224	chr12	100141975	100142788	+	353	NA	intron (UHRF1BP1L, intron 1 of 21)	NA	483	UHRF1BP1L								
UT7_3_187_R1_peak_15095	chr17	14069550	14069976	+	353	NA	promoter-TSS (COX10-AS1)	NA	-305	COX10-AS1								
UT7_3_187_R1_peak_23756	chr20	63272799	63273643	+	353	NA	intron (ARFGAP1, intron 1 of 13)	NA	408	ARFGAP1								
UT7_3_187_R1_peak_19706	chr19	55384716	55387143	+	353	NA	promoter-TSS (RPL28)	NA	-3	RPL28								
UT7_3_187_R1_peak_31800	chr6	37047921	37050307	+	352	NA	Intergenic	NA	35855	FGD2								
UT7_3_187_R1_peak_8627	chr12	50517206	50517798	+	352	NA	intron (DIP2B, intron 1 of 37)	NA	12477	DIP2B								
UT7_3_187_R1_peak_34820	chr8	11801886	11802494	+	352	NA	promoter-TSS (FDFT1)	NA	-899	FDFT1								
UT7_3_187_R1_peak_31320	chr6	28224619	28226267	+	352	NA	promoter-TSS (ZSCAN9)	NA	192	ZSCAN9								
UT7_3_187_R1_peak_33955	chr7	76047281	76047884	+	351	NA	promoter-TSS (MDH2)	NA	421	STYXL1								
UT7_3_187_R1_peak_5051	chr10	73781747	73782461	+	351	NA	promoter-TSS (CHCHD1)	NA	54	CHCHD1								
UT7_3_187_R1_peak_14840	chr17	2711139	2711805	+	351	NA	intron (CLUH, intron 1 of 25)	NA	-4039	CLUH								
UT7_3_187_R1_peak_38495	chrX	130109444	130111696	+	351	NA	promoter-TSS (ELF4)	NA	-70	ELF4								
UT7_3_187_R1_peak_4512	chr10	18658353	18659255	+	351	NA	promoter-TSS (ARL5B)	NA	434	LOC102724059								
UT7_3_187_R1_peak_5053	chr10	73810792	73811814	+	351	NA	intron (NDST2, intron 1 of 14)	NA	528	NDST2								
UT7_3_187_R1_peak_6150	chr11	32434659	32436529	+	351	NA	promoter-TSS (WT1-AS)	NA	-59	WT1								
UT7_3_187_R1_peak_25678	chr3	10292948	10293472	+	351	NA	promoter-TSS (GHRL)	NA	-263	GHRL								
UT7_3_187_R1_peak_24304	chr21	43719086	43720394	+	351	NA	promoter-TSS (PDXK)	NA	-13853	PDXK								
UT7_3_187_R1_peak_10316	chr13	113448551	113449183	+	351	NA	intron (ADPRHL1, intron 1 of 7)	NA	4764	ADPRHL1								
UT7_3_187_R1_peak_9193	chr12	95548122	95548787	+	351	NA	promoter-TSS (USP44)	NA	3033	USP44								
UT7_3_187_R1_peak_11220	chr14	81425816	81427524	+	351	NA	intron (STON2, intron 1 of 5)	NA	23487	RP11-299L17.3								
UT7_3_187_R1_peak_26102	chr3	44861864	44862675	+	351	NA	TTS (MIR564)	NA	353	TMEM42								
UT7_3_187_R1_peak_17474	chr19	2163964	2164642	+	351	NA	promoter-TSS (DOT1L)	NA	-380	DOT1L								
UT7_3_187_R1_peak_10104	chr13	77026459	77027234	+	351	NA	exon (FBXL3, exon 1 of 4)	NA	350	FBXL3								
UT7_3_187_R1_peak_29989	chr5	139197447	139198346	+	351	NA	intron (SIL1, intron 1 of 10)	NA	480	SIL1								
UT7_3_187_R1_peak_21739	chr2	184598043	184599558	+	351	NA	exon (ZNF804A, exon 1 of 4)	NA	434	ZNF804A								
UT7_3_187_R1_peak_10058	chr13	60163264	60163909	+	351	NA	intron (DIAPH3, intron 1 of 26)	NA	399	DIAPH3								
UT7_3_187_R1_peak_16904	chr18	5295332	5296025	+	351	NA	promoter-TSS (ZBTB14)	NA	517	ZBTB14								
UT7_3_187_R1_peak_29696	chr5	109689422	109691123	+	351	NA	exon (MAN2A1, exon 1 of 13)	NA	345	MAN2A1								
UT7_3_187_R1_peak_10744	chr14	55579899	55581541	+	351	NA	promoter-TSS (KTN1-AS1)	NA	513	KTN1								
UT7_3_187_R1_peak_18036	chr19	12932704	12934283	+	351	NA	intron (FARSA, intron 1 of 12)	NA	251	FARSA								
UT7_3_187_R1_peak_17255	chr18	63319418	63321104	+	351	NA	promoter-TSS (BCL2)	NA	-483	BCL2								
UT7_3_187_R1_peak_25965	chr3	36992190	36993164	+	351	NA	promoter-TSS (MLH1)	NA	627	EPM2AIP1								
UT7_3_187_R1_peak_24470	chr22	19479889	19480819	+	351	NA	intron (CDC45, intron 3 of 19)	NA	528	CDC45								
UT7_3_187_R1_peak_33495	chr7	17939727	17940470	+	351	NA	intron (SNX13, intron 1 of 25)	NA	410	SNX13								
UT7_3_187_R1_peak_35519	chr8	90197414	90198365	+	351	NA	Intergenic	NA	-23599	LINC00534								
UT7_3_187_R1_peak_38542	chrX	134459715	134460689	+	351	NA	promoter-TSS (HPRT1)	NA	57	HPRT1								
UT7_3_187_R1_peak_10712	chr14	51989552	51990459	+	351	NA	intron (C14orf166, intron 1 of 7)	NA	495	C14orf166								
UT7_3_187_R1_peak_6818	chr11	67266494	67268387	+	351	NA	intron (ADRBK1, intron 1 of 20)	NA	1006	ADRBK1								
UT7_3_187_R1_peak_8910	chr12	56332979	56334003	+	351	NA	exon (PAN2, exon 1 of 26)	NA	562	PAN2								
UT7_3_187_R1_peak_26012	chr3	39152420	39153684	+	351	NA	intron (LOC101928263, intron 1 of 2)	NA	704	LOC101928263								
UT7_3_187_R1_peak_33854	chr7	66653783	66655556	+	351	NA	intron (RP4-756H11.3, intron 1 of 3)	NA	150	RP4-756H11.3								
UT7_3_187_R1_peak_36738	chr9	37800788	37801838	+	351	NA	exon (DCAF10, exon 1 of 6)	NA	806	DCAF10								
UT7_3_187_R1_peak_14726	chr16	89994376	89996122	+	351	NA	exon (AFG3L1P, exon 10 of 10)	NA	14872	DBNDD1								
UT7_3_187_R1_peak_38155	chrX	41333277	41335056	+	351	NA	exon (DDX3X, exon 1 of 17)	NA	768	DDX3X								
UT7_3_187_R1_peak_27999	chr4	39044400	39045533	+	351	NA	exon (KLHL5, exon 1 of 12)	NA	135	KLHL5								
UT7_3_187_R1_peak_216	chr1	9588764	9589673	+	351	NA	intron (TMEM201, intron 1 of 5)	NA	344	TMEM201								
UT7_3_187_R1_peak_27744	chr4	1247534	1248751	+	351	NA	intron (CTBP1, intron 1 of 9)	NA	978	CTBP1								
UT7_3_187_R1_peak_25130	chr22	38982367	38983062	+	351	NA	intron (APOBEC3B, intron 1 of 7)	NA	315	APOBEC3B								
UT7_3_187_R1_peak_24510	chr22	20957086	20958653	+	351	NA	intron (LOC101928891, intron 2 of 2)	NA	4651	LOC101928891								
UT7_3_187_R1_peak_11390	chr14	99479829	99480864	+	351	NA	intron (SETD3, intron 1 of 10)	NA	543	SETD3								
UT7_3_187_R1_peak_38635	chrX	150568612	150569906	+	351	NA	intron (MTM1, intron 1 of 14)	NA	-21687	MTM1								
UT7_3_187_R1_peak_18704	chr19	37077621	37078324	+	351	NA	promoter-TSS (ZNF420)	NA	-447	ZNF420								
UT7_3_187_R1_peak_14568	chr16	85799658	85800503	+	351	NA	promoter-TSS (EMC8)	NA	513	COX4I1								
UT7_3_187_R1_peak_23139	chr20	35772021	35773222	+	350	NA	intron (PHF20, intron 1 of 17)	NA	620	PHF20								
UT7_3_187_R1_peak_30421	chr5	176184568	176185987	+	350	NA	exon (RP11-844P9.2, exon 4 of 26)	NA	14018	RP11-844P9.2								
UT7_3_187_R1_peak_8541	chr12	49056258	49058245	+	350	NA	intron (KMT2D, intron 1 of 54)	NA	2896	KMT2D								
UT7_3_187_R1_peak_30661	chr6	2765494	2766440	+	349	NA	promoter-TSS (MYLK4)	NA	253	WRNIP1								
UT7_3_187_R1_peak_7927	chr12	6960985	6962228	+	349	NA	TTS (PTPN6)	NA	-2093	MIR200C								
UT7_3_187_R1_peak_36286	chr9	2031239	2033425	+	349	NA	intron (SMARCA2, intron 2 of 33)	NA	17113	SMARCA2								
UT7_3_187_R1_peak_16553	chr17	78127473	78128655	+	348	NA	intron (TMC6, intron 1 of 19)	NA	-1044	TMC6								
UT7_3_187_R1_peak_28981	chr4	189940285	189941485	+	348	NA	promoter-TSS (FRG1)	NA	66	FRG1								
UT7_3_187_R1_peak_4190	chr1	246566531	246568158	+	348	NA	intron (CNST, intron 1 of 8)	NA	-1081	TFB2M								
UT7_3_187_R1_peak_30448	chr5	177311901	177312318	+	348	NA	exon (MXD3, exon 1 of 6)	NA	182	MXD3								
UT7_3_187_R1_peak_1476	chr1	52054451	52056014	+	348	NA	promoter-TSS (BTF3L4)	NA	939	TXNDC12								
UT7_3_187_R1_peak_13231	chr16	1413991	1414681	+	348	NA	intron (UNKL, intron 1 of 12)	NA	413	UNKL								
UT7_3_187_R1_peak_3081	chr1	172531540	172532881	+	348	NA	promoter-TSS (SUCO)	NA	-908	SUCO								
UT7_3_187_R1_peak_277	chr1	11805162	11805950	+	348	NA	promoter-TSS (CLCN6)	NA	375	MTHFR								
UT7_3_187_R1_peak_19443	chr19	50374136	50374847	+	348	NA	Intergenic	NA	-1932	NR1H2								
UT7_3_187_R1_peak_33171	chr6	160991108	160992538	+	348	NA	promoter-TSS (MAP3K4)	NA	39	MAP3K4								
UT7_3_187_R1_peak_25307	chr22	42079646	42080000	+	348	NA	TTS (FAM109B)	NA	132	SMDT1								
UT7_3_187_R1_peak_32629	chr6	125956690	125957506	+	347	NA	exon (HINT3, exon 1 of 5)	NA	382	HINT3								
UT7_3_187_R1_peak_35776	chr8	123272403	123274529	+	347	NA	intron (ZHX1, intron 1 of 3)	NA	1021	ZHX1-C8ORF76								
UT7_3_187_R1_peak_16007	chr17	51260533	51261138	+	347	NA	promoter-TSS (MBTD1)	NA	299	UTP18								
UT7_3_187_R1_peak_37303	chr9	116465499	116466289	+	347	NA	intron (ASTN2, intron 19 of 21)	NA	-38389	RP11-264C15.2								
UT7_3_187_R1_peak_22513	chr2	241356265	241357013	+	347	NA	intron (FARP2, intron 1 of 17)	NA	-16039	FARP2								
UT7_3_187_R1_peak_4253	chr1	248857267	248858993	+	347	NA	intron (ZNF692, intron 2 of 10)	NA	796	ZNF692								
UT7_3_187_R1_peak_23180	chr20	36773911	36774345	+	347	NA	promoter-TSS (DSN1)	NA	-377	DSN1								
UT7_3_187_R1_peak_28989	chr5	271624	272158	+	347	NA	promoter-TSS (LOC102467073)	NA	270	PDCD6								
